Tempcorrect,DeltaT,J,DeltaJplus,DeltaJminus,Unterkuehlu
241.34,,7702000,--,--,-35.63
241.34,,7702000,--,--,-35.63
241.38,,5884000,--,--,-35.59
241.43,,5243000,--,--,-35.54
241.47,,4543000,--,--,-35.5
241.53,,3551000,--,--,-35.44
241.58,,3237000,--,--,-35.39
241.63,,2726000,--,--,-35.34
241.67,--,1877000,--,--,-35.3
241.73,--,1410000,--,--,-35.24
242.27,--,320900,--,--,-34.7
241.78,--,1518000,--,--,-35.19
241.85,--,1206000,--,--,-35.12
241.89,--,1095000,--,--,-35.08
241.93,--,911800,--,--,-35.04
241.98,--,789100,--,--,-34.99
242.03,--,594500,--,--,-34.94
242.09,--,463900,--,--,-34.88
242.12,--,415600,--,--,-34.85
242.18,--,370600,--,--,-34.79
242.21,--,378100,--,--,-34.76
242.33,0.25,411500,82300,164600,-34.64
