Temp1,DeltaT,J2,Jmax,Jmin,Unterkuehlu
236.37,,6929000,--,--,-36.78
236.4,,5903000,--,--,-36.75
236.4,,5738000,--,--,-36.75
236.47,,1237000,--,--,-36.68
236.57,,3934000,--,--,-36.58
236.61,,4367000,--,--,-36.54
236.63,,3792000,--,--,-36.52
236.68,,3023000,--,--,-36.47
236.73,,2368000,--,--,-36.42
236.81,,1830000,--,--,-36.34
236.83,,1796000,--,--,-36.32
236.91,,1372000,--,--,-36.24
236.94,,1282000,--,--,-36.21
237,,796800,--,--,-36.15
237.01,,733300,--,--,-36.14
237.12,,475000,--,--,-36.03
237.13,,455000,--,--,-36.02
237.2,,252300,--,--,-35.95
237.22,,228200,--,--,-35.93
237.27,--,483800,--,--,-35.88
237.34,--,726600,--,--,-35.81
237.37,0.25,224200,44840,89680,-35.78
237.44,--,179100,--,--,-35.71
237.51,--,121500,--,--,-35.64
237.55,--,97990,--,--,-35.6
237.58,--,102200,--,--,-35.57
237.64,--,87560,--,--,-35.51
237.68,--,62030,--,--,-35.47
237.72,--,61230,--,--,-35.43
237.78,--,41700,--,--,-35.37
237.82,--,35640,--,--,-35.33
237.88,--,67240,--,--,-35.27
237.91,--,55010,--,--,-35.24
